chapter_id,week,all_feats,buildings,highways,amenities,other,mappers
1132,2018-05-14,1560,1140,327,19,74,2
1046,2018-05-21,158,81,71,0,6,2
89,2018-05-21,8,5,0,0,3,1
2,2018-05-21,9,6,0,2,1,3
1085,2018-05-21,28,0,0,0,28,1
1042,2018-05-21,4111,4032,61,0,18,4
5,2018-05-28,51580,47946,2288,24,1322,10
4,2018-05-28,13982,13594,282,11,95,2
1190,2018-05-28,8281,8266,15,0,0,2
1132,2018-05-28,952,489,391,76,-4,2
110,2018-05-28,971,943,16,0,12,1
1098,2018-06-04,3603,3071,205,90,237,4
1,2018-06-04,1220,842,99,174,105,1
4,2018-06-11,4774,2750,131,6,1887,4
95,2019-06-03,5145,5141,4,0,0,3
1098,2019-06-03,1165,953,179,1,32,5
110,2019-06-10,1008,817,28,20,143,4
5,2019-06-10,31903,29390,439,7,2067,5
1057,2019-06-10,483,450,26,0,7,1
4,2019-06-10,6555,6138,173,0,244,2
58,2019-06-10,1729,1571,42,23,93,12
53,2019-06-10,13,8,0,5,0,2
1071,2019-06-17,252,228,10,3,11,1
1132,2019-06-17,1523,608,417,44,454,2
5,2019-06-17,14970,13980,255,8,727,6
110,2019-06-17,7209,6697,456,20,36,7
58,2019-06-17,5273,4643,216,15,399,14
57,2019-06-17,268,51,182,9,26,1
91,2019-06-17,367,72,94,152,49,1
42,2019-06-24,1436,1293,142,0,1,1
1098,2019-11-18,2114,1771,94,67,182,9
69,2019-11-25,220,206,7,0,7,1
110,2019-11-25,950,849,41,5,55,6
58,2019-11-25,11141,9811,1177,17,136,4
5,2019-11-25,7468,5840,1222,3,403,5
81,2019-11-25,1408,0,31,0,1377,1
44,2019-11-25,1296,1281,14,0,1,2
1055,2019-11-25,705,580,12,1,112,1
60,2019-11-25,232,179,5,0,48,2
1132,2019-11-25,3299,2342,342,310,305,2
53,2019-12-02,202,121,54,22,5,6
5,2019-12-02,2691,1854,783,7,47,6
1098,2021-12-20,6233,3629,1014,123,1467,10
3,2021-12-20,5321,4914,128,40,239,7
1042,2021-12-20,454,430,18,2,4,2
81,2021-12-27,2162,0,9,566,1587,1
51,2021-12-27,1293,1243,18,1,31,1
1069,2021-12-27,175,152,20,0,3,1
110,2021-12-27,745,742,3,0,0,3
71,2023-02-20,3895,3167,724,0,4,1
108,2023-02-20,482,460,4,1,17,1
51,2023-02-20,90,65,1,0,24,3
88,2023-02-20,1282,1061,0,19,202,8
44,2023-02-20,2998,2699,294,0,5,6
1131,2023-02-20,75,67,0,0,8,1
93,2023-02-20,2061,1804,221,0,36,1
1105,2023-02-20,1782,1448,232,2,100,1
96,2023-02-20,2392,1724,387,4,277,3
46,2023-02-20,1283,1242,32,1,8,2
1132,2023-02-20,440,111,77,32,220,3
1186,2023-02-20,7986,7263,673,8,42,3
60,2023-02-20,410,276,28,1,105,5
93,2023-02-27,2191,745,1276,0,170,2
96,2023-02-27,1057,801,226,0,30,3
63,2023-02-27,2731,2688,42,0,1,1
86,2023-02-27,134,134,0,0,0,1
46,2023-02-27,1659,1639,12,0,8,2
1059,2023-02-27,631,573,38,1,19,1
4,2023-02-27,2235,1870,354,1,10,3
57,2023-02-27,25492,25439,40,0,13,2
110,2023-02-27,623,499,107,15,2,10
72,2023-02-27,751,641,103,2,5,4
1003,2023-02-27,245,168,59,2,16,3
77,2023-02-27,2095,1807,207,2,79,4
91,2023-02-27,823,789,12,15,7,2
1042,2023-03-06,69,56,11,0,2,3
3,2023-03-06,2341,2124,140,2,75,9
2,2023-03-06,1166,121,964,5,76,4
1098,2023-03-06,2018,1689,291,0,38,8
1102,2023-03-06,446,443,0,0,3,2
1070,2023-03-06,189,137,49,0,3,1
1043,2023-03-06,47,0,12,0,35,1
208,2023-03-06,438,276,72,11,79,1
1149,2023-03-06,97,96,0,1,0,2
75,2023-03-06,1898,1885,7,2,4,1
963,2023-03-06,1070,1064,6,0,0,2
3,2023-03-13,1342,1221,68,0,53,10
1226,2023-03-13,243,206,21,7,9,2
208,2023-03-13,4620,4044,229,10,337,3
2,2023-03-13,211,126,57,3,25,3
90,2023-03-13,536,536,0,0,0,1
1022,2023-03-13,119,94,23,0,2,1
1063,2023-03-13,563,557,0,2,4,2
80,2023-03-13,34,23,6,3,2,1
1162,2023-03-13,562,364,143,0,55,2
1284,2023-03-13,100,100,0,0,0,1
1148,2023-03-13,878,821,50,1,6,3
88,2023-03-20,3127,2853,0,1,273,5
96,2023-03-20,288,284,4,0,0,1
964,2023-03-20,374,33,174,101,66,1
110,2023-03-20,3248,3101,133,5,9,7
1099,2023-03-20,17,17,0,0,0,1
1132,2023-03-20,378,10,128,118,122,2
130,2023-03-20,19,19,0,0,0,1
93,2023-03-20,655,5,615,2,33,2
60,2023-03-20,32,18,14,0,0,1
1057,2023-03-20,750,714,36,0,0,4
46,2023-03-20,117,117,0,0,0,1
4,2023-02-20,2049,1695,335,5,14,4
1057,2023-02-20,2917,2796,106,0,15,6
63,2023-02-20,6709,6625,84,0,0,1
57,2023-02-20,16261,16240,17,0,4,2
60,2023-02-27,408,321,19,6,62,5
88,2023-02-27,1362,1309,0,1,52,5
97,2023-02-27,242,230,10,0,2,2
1057,2023-02-27,75,59,15,0,1,3
44,2023-02-27,3319,3148,156,4,11,5
964,2023-02-27,871,14,547,63,247,5
1206,2023-02-27,19,18,0,0,1,1
1010,2023-02-27,266,98,53,4,111,1
1132,2023-02-27,235,19,133,35,48,2
168,2023-03-06,175,160,12,0,3,3
1054,2023-03-06,1038,896,100,3,39,16
1098,2023-03-13,1521,1224,155,0,142,9
1100,2023-03-13,6,0,0,6,0,1
75,2023-03-13,1307,1296,3,1,7,2
1004,2023-03-20,36,29,3,5,-1,3
53,2023-03-20,1283,26,1212,1,44,4
57,2023-03-20,47,33,13,0,1,1
